Instrument,Company Common Name,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score Grade,ESG Combined Score Grade,Environmental Pillar Score Grade,Social Pillar Score Grade,Governance Pillar Score Grade,Price Close,Earnings Per Share - Mean,P/E (Daily Time Series Ratio),Debt - Long-Term - Total,Company Market Cap,TRBC Economic Sector Name
HSX.L,,2018-12-31 00:00:00+00:00,57.9060987600368,37.2125463991326,46.9697073780424,83.4156073882102,B-,C+,C,C+,A,1070.0,1.70225,6.35043553728568,0.7005,3.6377826616,
HSX.L,,2017-12-31 00:00:00+00:00,57.5452819492991,38.4417810218126,44.1637099924209,85.7690809968848,B-,B-,C,C+,A,1091.0,1.70302,6.5055673516611,0.3911,3.74248896753395,
HSX.L,,2016-12-31 00:00:00+00:00,50.4648953812845,41.4823239640684,29.9104616167817,84.2372881355933,B-,B-,C,C-,A,1109.0,1.70302,6.67228794512018,0.342604,3.77037473992,
HSX.L,,2015-12-31 00:00:00+00:00,53.0920287759351,44.9282147594986,31.2764803841834,87.8729603729604,B-,B-,C+,C-,A,1101.0,1.70302,6.64753802922076,0.40629458232624,3.71416634126098,
HSX.L,,2014-12-31 00:00:00+00:00,50.1068874628414,38.601926825611,30.123660529276,83.5714285714286,B-,B-,C,C-,A,1099.0,1.70302,6.58403701806576,0.01107079453079,3.73637677112,
AZN.L,AstraZeneca PLC,2023-12-31 00:00:00+00:00,94.3660555575063,90.9527903799147,96.8850413391929,92.4261281855897,A+,B,A,A+,A+,10844.0,8.1343,31.9131173223216,23.222,168.155640559186,Healthcare
AZN.L,,2022-12-31 00:00:00+00:00,95.3373678977569,93.3816284140884,97.2459192829596,93.9193528378946,A+,B+,A+,A+,A+,10648.0,8.14865,31.336303324242,23.69,165.10216352872,
AZN.L,,2021-12-31 00:00:00+00:00,95.3862102860233,93.0486025817137,97.1006588736685,94.5383077687588,A+,C+,A+,A+,A+,10630.0,8.14735,31.2191338087047,28.888,164.8230652057,
AZN.L,,2020-12-31 00:00:00+00:00,95.0021023912302,92.5842548048101,96.8626894614428,93.7664092968082,A+,A+,A+,A+,A+,10822.0,8.14387,31.7442411832091,17.994,167.855405698976,
AZN.L,,2019-12-31 00:00:00+00:00,93.7547623136978,91.7491670633032,97.0338214779026,90.325160413037,A+,A,A+,A+,A,10982.0,8.14778,32.2241848712859,16.217,171.676355956571,
